web-scraper-order,web-scraper-start-url,fact_checked organization,date,title,link,link-href,external link,external link-href
"1625073909-1605","https://www.poynter.org/ifcn-covid-19-misinformation/page/22/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/12/04 | United States","FALSE: The CDC delivers groceries and cleaning products “twice while you’re in quarantine.”","FALSE: The CDC delivers groceries and cleaning products “twice while you’re in quarantine.”","https://www.poynter.org/?ifcn_misinformation=the-cdc-delivers-groceries-and-cleaning-products-twice-while-youre-in-quarantine","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/dec/14/instagram-posts/no-cdc-isnt-delivering-groceries-and-cleaning-prod/"
"1625074042-1661","https://www.poynter.org/ifcn-covid-19-misinformation/page/18/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: VoxCheck","2021/01/19 | Ukraine, United States","FALSE: Rob Oswald: Labs of major U.S. universities are filing a lawsuit against CDC.","FALSE: Rob Oswald: Labs of major U.S. universities are filing a lawsuit against CDC.","https://www.poynter.org/?ifcn_misinformation=rob-oswald-labs-of-major-u-s-universities-are-filing-a-lawsuit-against-cdc","Read the Full Article (VoxCheck)","https://voxukraine.org/uk/fejk-laboratoriyi-kilkoh-amerikanskih-universitetiv-pozivayutsya-proti-cdc-rob-osvald/"
"1625073073-1356","https://www.poynter.org/ifcn-covid-19-misinformation/page/39/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/05/11 | United States","FALSE: “Germany and the United States are the two best in deaths per 100,000 people, which, frankly, to me, that’s perhaps the most important number there is.”","FALSE: “Germany and the United States are the two best in deaths per 100,000 people, which, frankly, to me, that’s perhaps the most important number there is.”","https://www.poynter.org/?ifcn_misinformation=germany-and-the-united-states-are-the-two-best-in-deaths-per-100000-people-which-frankly-to-me-thats-perhaps-the-most-important-number-there-is","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/may/13/donald-trump/trumps-claim-covid-deaths-us-are-par-germanys-does/"
"1625074661-1910","https://www.poynter.org/ifcn-covid-19-misinformation/page/2/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: AFP","2021/06/03 | United States","FALSE: US military arrested Trump pandemic task force coordinator.","FALSE: US military arrested Trump pandemic task force coordinator.","https://www.poynter.org/?ifcn_misinformation=us-military-arrested-trump-pandemic-task-force-coordinator","Read the Full Article (AFP)","https://factcheck.afp.com/us-military-did-not-arrest-trump-pandemic-task-force-coordinator"
"1625072032-1043","https://www.poynter.org/ifcn-covid-19-misinformation/page/60/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: LeadStories","2020/04/02 | United States","False: Walmart is adopting a staggered schedule due to the coronavirus.","False: Walmart is adopting a staggered schedule due to the coronavirus.","https://www.poynter.org/?ifcn_misinformation=walmart-is-adopting-a-staggered-schedule-due-to-the-coronavirus","Read the Full Article (LeadStories)","https://leadstories.com/hoax-alert/2020/04/fact-check-walmart-is-not-adopting-a-staggered-schedule-due-to-covid-19.html"
"1625072214-1097","https://www.poynter.org/ifcn-covid-19-misinformation/page/56/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Science Feedback","2020/04/07 | United States","FALSE: 5G exposure/radiation pollution compromises the structure and function of hemoglobin in cells and worsens COVID-19 pandemic.","FALSE: 5G exposure/radiation pollution compromises the structure and function of hemoglobin in cells and worsens COVID-19 pandemic.","https://www.poynter.org/?ifcn_misinformation=5g-exposure-radiation-pollution-compromises-the-structure-and-function-of-hemoglobin-in-cells-and-worsens-covid-19-pandemic","Read the Full Article (Science Feedback)","https://healthfeedback.org/claimreview/conspiracy-theorists-claim-that-5g-increases-vulnerability-to-covid-19-with-baseless-theory-that-it-affects-hemoglobin/"
"1625073891-1598","https://www.poynter.org/ifcn-covid-19-misinformation/page/23/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: Science Feedback","2020/11/29 | United States","FALSE: A Johns Hopkins study showed that the number of deaths in 2020 is not greater than in prior years despite COVID-19","FALSE: A Johns Hopkins study showed that the number of deaths in 2020 is not greater than in prior years despite COVID-19","https://www.poynter.org/?ifcn_misinformation=a-johns-hopkins-study-showed-that-the-number-of-deaths-in-2020-is-not-greater-than-in-prior-years-despite-covid-19","Read the Full Article (Science Feedback)","https://healthfeedback.org/claimreview/cdc-data-shows-higher-number-of-deaths-in-2020-compared-to-previous-years-johns-hopkins-student-article-compared-percentages-not-raw-numbers/"
"1625070840-649","https://www.poynter.org/ifcn-covid-19-misinformation/page/86/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: LeadStories","2020/01/30 | United States","False: Romania developed a coronavirus vaccine able to cure white people only.","False: Romania developed a coronavirus vaccine able to cure white people only.","https://www.poynter.org/?ifcn_misinformation=romania-developed-a-coronavirus-vaccine-able-to-cure-white-people-only","Read the Full Article (LeadStories)","https://hoax-alert.leadstories.com/3471563-fake-news-romania-has-not-developed-coronavirus-vaccine-able-to-cure-white-people-only.html"
"1625074659-1909","https://www.poynter.org/ifcn-covid-19-misinformation/page/2/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2021/06/02 | United States","FALSE: Emails show that Fauci knew “hydroxychloroquine worked [and] emailed friends about it being effective.”","FALSE: Emails show that Fauci knew “hydroxychloroquine worked [and] emailed friends about it being effective.”","https://www.poynter.org/?ifcn_misinformation=emails-show-that-fauci-knew-hydroxychloroquine-worked-and-emailed-friends-about-it-being-effective","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2021/jun/15/facebook-posts/no-faucis-emails-dont-prove-he-knew-hydroxychloroq/"
"1625072749-1258","https://www.poynter.org/ifcn-covid-19-misinformation/page/45/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: PolitiFact","2020/04/27 | United States","FALSE: “We’ve tested more than every country combined.”","FALSE: “We’ve tested more than every country combined.”","https://www.poynter.org/?ifcn_misinformation=weve-tested-more-than-every-country-combined","Read the Full Article (PolitiFact)","https://www.politifact.com/factchecks/2020/apr/30/donald-trump/trumps-boasts-testing-spring-cherry-picking-data/"
"1625072020-1039","https://www.poynter.org/ifcn-covid-19-misinformation/page/60/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: FactCheck.org","2020/04/02 | United States","False: In New York “every contaminated corpse belongs to the state” and will be incinerated without any “wakes or memorial services to pay your last respects.”","False: In New York “every contaminated corpse belongs to the state” and will be incinerated without any “wakes or memorial services to pay your last respects.”","https://www.poynter.org/?ifcn_misinformation=in-new-york-every-contaminated-corpse-belongs-to-the-state-and-will-be-incinerated-without-any-wakes-or-memorial-services-to-pay-your-last-respects","Read the Full Article (FactCheck.org)","https://www.factcheck.org/2020/04/misinformation-on-covid-19-death-protocols-in-new-york/"
"1625072880-1298","https://www.poynter.org/ifcn-covid-19-misinformation/page/43/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: AFP","2020/05/01 | United States","FALSE: Social media users have shared a photo that claims to show a “Center for Global Human Population Reduction” affiliated with the Bill & Melinda Gates Foundation.","FALSE: Social media users have shared a photo that claims to show a “Center for Global Human Population Reduction” affiliated with the Bill & Melinda Gates Foundation.","https://www.poynter.org/?ifcn_misinformation=social-media-users-have-shared-a-photo-that-claims-to-show-a-center-for-global-human-population-reduction-affiliated-with-the-bill-melinda-gates-foundation","Read the Full Article (AFP)","https://factcheck.afp.com/doctored-photo-latest-attack-bill-gates-amid-covid-19-vaccine-push"
"1625071528-895","https://www.poynter.org/ifcn-covid-19-misinformation/page/70/?covid_countries=48837&covid_rating=51174&covid_fact_checkers=0#038;covid_rating=51174&covid_fact_checkers=0","Fact-Checked by: LeadStories","2020/03/20 | United States","False: Using sauna or aiming a hairdryer at one’s nose will kill the coronavirus.","False: Using sauna or aiming a hairdryer at one’s nose will kill the coronavirus.","https://www.poynter.org/?ifcn_misinformation=using-sauna-or-aiming-a-hairdryer-at-ones-nose-will-kill-the-coronavirus","Read the Full Article (LeadStories)","https://leadstories.com/hoax-alert/2020/03/fact-check-using-a-sauna-or-hairdryer-will-not-kill-coronavirus.html"
