web-scraper-order,web-scraper-start-url,tiltle,date,Sourse,link,link-href,key_words,whole_text,first_source,first_source-href,second_sourse,second_sourse-href,third_source,third_source-href
"1625069555-590","https://www.politifact.com/factchecks/list/?page=1&category=coronavirus&ruling=pants-fire","“Since removing the mask mandate two months ago, Texas has not reported a single COVID death. Not one.""","stated on May 19, 2021 in an interview:","Lauren Boebert","“Since removing the mask mandate two months ago, Texas has not reported a single COVID death. Not one.""","https://www.politifact.com/factchecks/2021/may/25/lauren-boebert/texas-has-recorded-covid-deaths-removing-mask-mand/","Colorado




Texas




Coronavirus







Lauren Boebert","Texas has recorded COVID deaths since removing its mask mandate — thousands of them




U.S. Rep. Lauren Boebert, a Republican of Colorado, invoked Gov. Greg Abbott's repeal of the state's mask mandate to illustrate how Republicans, and not Democrats, are basing COVID-19 policies on science.  
During a May 19 interview on Dr. Gina Prime Time with host Gina Loudon, a conservative TV personality on the web-based network Real America’s Voice and former campaign surrogate for President Donald Trump, Boebert and Loudon blasted House Speaker Nancy Pelosi, D-Calif., over Democrats' mask rules 
House rules state that, until all members and staff are fully vaccinated, masks are required on the House floor and in committee meeting rooms, with fines of $500 for the first offense and $2,500 for the second offense, Politico reported.  
As of May 14, all House Democrats reported having received a COVID-19 vaccine. Ninety-five of the 212 Republican House members reported being vaccinated, with 112 Republicans not responding to a survey, according to CNN. 
Boebert was one of many House Republicans who joined a maskless protest within the House chamber alongside a dozen other members, including Texas representatives Chip Roy, Beth Van Duyne and Louie Gohmert, according to Politico. Their protest argued that leaving the mask-wearing rules in place contravened the latest guidelines released by the U.S. Centers for Disease Control and Prevention, which eased face covering guidelines for vaccinated people.
""It just goes to show that this party’s ‘follow the science’ slogan is a total joke,"" Boebert said. 
Then she referenced Abbott's move to lift the statewide mask rules effective March 10 as part of an effort to ""open Texas 100%."" 
""Texas removed their mask mandate two months ago, and sleepy Joe called it Neanderthal thinking,"" she said. ""No sir. Republicans are just following the science. And since removing the mask mandate two months ago, Texas has not reported a single COVID death. Not one.""

Featured Fact-check
















Viral image


stated on June 1, 2021 in a Facebook post








“U.S. military arrests Dr. Deborah Birx.”












By Ciara O'Rourke • June 2, 2021







A look at the state’s COVID-19 dashboard shows that, although daily fatality numbers are decreasing, more than 3,000 Texans have died of the coronavirus since the mask mandate was lifted. That’s about 6% of the 50,000 deaths Texas has recorded since the beginning of the pandemic. 

This total also does not include fatalities from May 23 to date, which have not yet been recorded by the state. And totals from May 10 onward are still trickling in because, according to a Texas Department of State Health Services spokesperson, it takes around 10 days, on average, for funeral homes and medical officials to submit death certificates.  
About 34% of Texans, or around 9.9 million people, have been fully vaccinated, according to state data. Health officials have said that between 75% and 95% of the state population need to be vaccinated in order to achieve herd immunity.  
Boebert represents Colorado’s 3rd Congressional District, which comprises the western swath of the state, home to a smattering of ski resorts, national forest, ranches and coal-mining towns, according to the Associated Press. Boebert defeated longstanding Republican Rep. Scott Tipton in 2020 after accusing Tipton of not being sufficiently pro-Trump. Her far-right views are centered around gun rights, and she owns a restaurant where servers openly carry firearms. 
Her spokesperson, Ben Stout, did not respond to requests for comment.  
Our ruling 
Boebert said during a May 19 interview with Gina Loudon that, since Texas removed its mask mandate, the state ""has not reported a single COVID death. Not one."" 
A quick look at the state-run COVID-19 dashboard, which tracks coronavirus cases, deaths and other metrics, shows that more than 3,000 Texans have died of COVID-19 since Abbott lifted the mandate on March 10.  
We rate this claim Pants on Fire.","Rep. Lauren Boebert Joins Dr. Gina Prime Time","https://americasvoice.news/video/dgL6XeP2nvsyVC8/","null","","Politico reported","https://www.politico.com/news/2021/05/18/house-republicans-mask-rule-rebellion-489273"
"1625069257-506","https://www.politifact.com/factchecks/list/?page=3&category=coronavirus&ruling=pants-fire","Photo shows packed beach of re-opened Jacksonville Beach on CNN.","stated on April 19, 2020 in a Facebook post:","Viral image","Photo shows packed beach of re-opened Jacksonville Beach on CNN.","https://www.politifact.com/factchecks/2020/apr/23/viral-image/photo-packed-beach-brazil-2013-not-jacksonville-be/","Fake news




Florida




Facebook Fact-checks




Coronavirus







Viral image","","post,","https://archive.fo/RooKM","Reverse-image search","https://tineye.com/search/ea8ce2856d7b9566f769ed3a480bfd366565b85c?page=1","BRAZIL-POPE-WYD-FINAL MASS","https://www.gettyimages.com/detail/news-photo/hundreds-of-thousands-of-people-crowd-copacabana-beach-in-news-photo/174704797"
"1625069395-544","https://www.politifact.com/factchecks/list/?page=2&category=coronavirus&ruling=pants-fire","The CDC “adjusted the US Covid deaths from 153,504 to 9,210.”","stated on August 31, 2020 in images:","Facebook posts","The CDC “adjusted the US Covid deaths from 153,504 to 9,210.”","https://www.politifact.com/factchecks/2020/aug/31/facebook-posts/no-cdc-did-not-quietly-adjust-us-coronavirus-death/","Facebook Fact-checks




Coronavirus







Facebook posts","No, the CDC did not ‘quietly adjust’ US coronavirus deaths




If Your Time is short





President Donald Trump retweeted multiple posts that falsely claimed the Centers for Disease Control and Prevention decreased the number of U.S. coronavirus deaths to 9,210.


Those posts misconstrue data from the CDC, which shows that the vast majority of coronavirus-related deaths occur in patients who have comorbidities like influenza or pneumonia.


As of Aug. 31, the CDC reported that 182,622 Americans have died since the start of the pandemic. Some estimates put the death toll even higher.





See the sources for this fact-check




Over the weekend, President Donald Trump shared two posts that falsely claimed COVID-19 deaths are not as high as previously thought. 
The posts claimed that the Centers for Disease Control and Prevention updated its COVID-19 death numbers to show that only 9,210 Americans have died from the virus. Twitter removed the first tweet for violating its rules. Another post from Jenna Ellis, a senior legal adviser for the Trump campaign, linked to a story from the Gateway Pundit, a conservative news site. That tweet was still up as of publication.

The tweets misconstrue federal data on COVID-19 victims.
As of Aug. 31, the CDC reported that 182,622 Americans have died since the start of the pandemic — and some estimates put the death toll even higher. The agency told us that the vast majority of deaths involving COVID-19 can be attributed to the virus. 
Claims that the CDC adjusted its COVID-19 death numbers appear to have originated on Facebook before making their way to Trump’s Twitter feed, according to VineSight, an organization that uses artificial intelligence to surface potential misinformation. Several posts have been shared thousands of times.

(Screenshot from Facebook)
""CDC just backpedaled (quietly) and adjusted the US Covid deaths from 153,504 to 9,210,"" said Amiri King, a social media influencer and CBD salesman, in an Aug. 31 post that shows a screenshot of King’s tweet, which was also deleted. ""Admitting that their numbers were so f---ed that they were off by a whopping 94%.""
The posts were flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.)
Posts misconstrue CDC data
The social media posts trace back to an Aug. 26 update from the National Center for Health Statistics (NCHS), which is part of the CDC. The report is updated every Wednesday and outlines provisional death counts for COVID-19.
In his post, King cited an older version of a data table about deaths from COVID-19 in combination with other conditions, such as pneumonia and influenza.
In a section titled ""Comorbidities,"" the NCHS wrote: ""For 6% of the deaths, COVID-19 was the only cause mentioned. For deaths with conditions or causes in addition to COVID-19, on average, there were 2.6 additional conditions or causes per death.""
That data comes from death certificates.
King cited an older version of the NCHS report that analyzed 153,504 deaths involving COVID-19. Six percent of that figure is 9,210. 
To some readers, the report may appear to confirm his math. But it doesn’t.

Featured Fact-check
















Viral image


stated on June 1, 2021 in a Facebook post








“U.S. military arrests Dr. Deborah Birx.”












By Ciara O'Rourke • June 2, 2021







In medicine, comorbidities are conditions that patients experience in tandem with a primary condition. According to the CDC, people with preexisting conditions like cancer and diabetes are more at risk of death if they contract the coronavirus.
The NCHS report shows that the vast majority of coronavirus-related deaths occur in patients with comorbidities. But that doesn’t mean COVID-19 wasn’t a factor.
""A small number of people have COVID ascribed as the sole cause of death. It may be they had no comorbidities or they were just not noted,"" said Dr. Myron Cohen, director of the Institute for Global Health and Infectious Diseases at the University of North Carolina at Chapel Hill. ""However, it is also clear that advanced age and several other underlying diseases lead to bad outcomes with COVID infections. The people dying were not going to die but for the acquisition of COVID."" 
In a Facebook post addressing claims about the NCHS report, Dr. Mark Halstead, an associate professor of orthopedic surgery and pediatrics at Washington University, broke down how conditions are listed on a patient’s death certificate.
RELATED: Don’t trust this comparison of daily coronavirus deaths with other diseases
""So, let's say someone was admitted to the hospital because of symptoms of COVID. They test positive, so COVID would be listed,"" Halstead said in the post. ""Their case progressed where they developed respiratory failure and now are on a ventilator. Respiratory failure can be listed.""
Additional conditions may be listed on a patient’s death certificate during the course of their stay in the hospital. For example, if a COVID-19 patient ended up dying from cardiac arrest, that could also be included.
""So now three things are listed on their death certificate,"" Halstead wrote. ""The COVID infection started the process but that led to the heart and lungs failing, which killed that person.""
Jeff Lancashire, acting associate director for communications at the NCHS, told us in an email that while 94% of death certificates that mention COVID-19 also listed other conditions, the underlying cause of death was COVID-19 in almost all of them.
""The underlying cause of death is the condition that began the chain of events that ultimately led to the person’s death,"" he said. ""In 92% of all deaths that mention COVID-19, COVID-19 is listed as the underlying cause of death.""
We reached out to King for a comment, but we haven’t heard back.
Our ruling
A Facebook post claimed that the CDC decreased the number of COVID-19 deaths in the U.S. from 153,504 to 9,210.
That’s wrong. As of Aug. 31, the CDC counted 182,622 Americans who had died because of the coronavirus.
A NCHS report found that, for about 6% of Americans who die from the virus, COVID-19 is the only condition listed on their death certificates. But that doesn’t mean the remaining 94% didn’t die due to the coronavirus.
People with preexisting conditions, such as cancer or diabetes, have a higher risk of dying if they contract COVID-19. Complications from those conditions, as well as comorbidities like influenza and pneumonia, can be listed in addition to the coronavirus on death certificates. In 92% of death certificates that mention the virus, COVID-19 was the underlying cause of death, according to the NCHS.
The Facebook post is inaccurate and makes a ridiculous claim. We rate it Pants on Fire.","Defining Comorbidity: Implications for Understanding Health and Health Services","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2713155/","CDC COVID Data Tracker","https://www.cdc.gov/covid-data-tracker/","Coronavirus Disease 2019 (COVID-19): About CDC COVID-19 Data","https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/about-us-cases-deaths.html"
"1625069181-481","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","Says Gov. Tony Evers is “pushing firearm confiscation orders”","stated on March 24, 2020 in a Facebook post:","Facebook posts","Says Gov. Tony Evers is “pushing firearm confiscation orders”","https://www.politifact.com/factchecks/2020/mar/25/facebook-posts/old-claim-tony-evers-and-gun-confiscation-wrong/","Guns




Wisconsin




Coronavirus







Facebook posts","","Wisconsin’s gov. pushing firearm confiscation orders","https://steadfastandloyal.com/news-for-you/wisconsins-gov-pushing-confiscation-orders/?fbclid=IwAR1JyezA7iCF_xdZyQ7Ell8GuJHGLHUXMnA2oycl9MaqWkXAxPTBIWvSIT4","Wisconsin's’ Democratic gov. Pushing firearm confiscation orders","https://www.breitbart.com/politics/2019/01/14/wisconsins-democrat-gov-pushing-firearm-confiscation-orders/","Wisconsin's new AG calls for red flag gun law","https://www.wisn.com/article/wisconsins-new-ag-calls-for-red-flag-gun-law/25783779"
"1625069110-462","https://www.politifact.com/factchecks/list/?page=5&category=coronavirus&ruling=pants-fire","Says the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus.","stated on February 29, 2020 in a YouTube video:","YouTube videos","Says the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus.","https://www.politifact.com/factchecks/2020/mar/02/youtube-videos/false-video-says-pope-francis-has-coronavirus/","Facebook Fact-checks




Coronavirus







YouTube videos","","Vatican Confirms Pope Francis And Two Aides Test Positive For Coronavirus","https://www.youtube.com/watch?v=zgbwbhOIYFI&fbclid=IwAR114CdtByKB-oEtyWV2cQoMvPctpKQ3h2nPx-ceSSRpGhfl_Q-sNrD0dPo","Coughing pope cancels participating in Lenten retreat","https://apnews.com/c857823e5212f4da2bf6ed3b451ba3c2","YouTube video","https://www.youtube.com/watch?v=zgbwbhOIYFI&fbclid=IwAR114CdtByKB-oEtyWV2cQoMvPctpKQ3h2nPx-ceSSRpGhfl_Q-sNrD0dPo"
"1625069371-537","https://www.politifact.com/factchecks/list/?page=2&category=coronavirus&ruling=pants-fire","Only 56 coronavirus deaths a day was enough to collapse the world economy, even though thousands of people die daily from tuberculosis, hepatitis B, and other diseases.","stated on July 8, 2020 in on social media:","Facebook posts","Only 56 coronavirus deaths a day was enough to collapse the world economy, even though thousands of people die daily from tuberculosis, hepatitis B, and other diseases.","https://www.politifact.com/factchecks/2020/jul/15/facebook-posts/dont-trust-comparison-daily-coronavirus-deaths-oth/","Public Health




Facebook Fact-checks




Coronavirus







Facebook posts","Don’t trust this comparison of daily coronavirus deaths with other diseases




If Your Time is short




 The post used March 9 as its date for coronavirus deaths, which was right before deaths soared. Subsequent daily totals show that coronavirus deaths have become larger than any other disease on the list.

 
The coronavirus spreads through the air, there is no vaccine or treatment, and by now it’s established itself in most countries. So in many cases, limiting casual contact between people, including by economic shutdowns, may be the only effective way of stopping the virus’ spread.




See the sources for this fact-check




A social media post says the novel coronavirus causes a small number of deaths compared with other diseases, essentially arguing that the coronavirus shouldn’t have forced such widespread economic shutdowns.
The July 8 post is headlined, ""Disease deaths per day worldwide."" In a bar chart, the post lists more than two dozen communicable diseases, along with what it says are the number of worldwide deaths per day for each.
According to the chart, the top five killers are tuberculosis (3,014 deaths), hepatitis B (2,430), pneumonia (2,216), HIV/AIDS (2,110), and malaria (2,002).
About two-thirds of the way to the bottom of the list is the coronavirus, with just 56 daily deaths. Punctuated by a big red arrow, the post says, ""THIS is what collapsed the world economy.""
The post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) 
We found that the post (seen below) is highly misleading. Here are some big problems with it.

 
The number of coronavirus deaths is cherry-picked to be low
We researched the number of deaths from each of the diseases in the post and found some variation. But they were usually in the ballpark — except for COVID-19.
Usually, cause-of-death data is released a couple of years after the fact and is subject to estimation. But coronavirus is such an urgent health threat, deaths are tabulated on a daily basis with a much smaller lag.
In tiny type, the post cites data as of March 9, 2020. That was just before coronavirus deaths began their exponential growth — and just before U.S. communities started to shut down schools and restrict public gatherings to prevent its further spread.
On March 9, the seven-day rolling average for worldwide coronavirus deaths was 130. (It’s unclear where the 56 deaths cited in the post came from.) By April 18, the peak to date, the seven-day rolling average was 7,036. By July 12, the number had dropped to 4,945, but that was still far higher than the 56 deaths claimed in the post.
We re-did the chart based on the best available data, including those three options for coronavirus deaths, marked in red:

 
Both the April or July numbers for COVID-19 deaths are larger than for any of the other diseases. The closest is tuberculosis, with 3,452 deaths.
""The original figure is incredibly misleading, especially if still being circulated today,"" said Brooke Nichols, a health economist and infectious disease mathematical modeler at the Boston University School of Public Health.

Featured Fact-check
















Instagram posts


stated on June 2, 2021 in an Instagram post








An email from Dr. Anthony Fauci shows ""everyone was lied to"" about wearing masks to prevent the spread of COVID-19.












By Tom Kertscher • June 2, 2021







Unlike for most of the other diseases on this list, ""it needs to be pointed out that we have not yet had one year’s experience"" with the virus to have an accurate count and to understand the disease’s dynamics over time, said Nicole Gatto, associate professor in the School of Community and Global Health at Claremont Graduate University. It’s too early, she said, ""to fairly compare with these other causes of death.""
In all, then, the notion that coronavirus is causing a piddling number of deaths is bunk.
Most of the other diseases have effective treatments or vaccines
There’s not yet an effective drug or vaccine for coronavirus. That’s also the case for a few of the other diseases on the list, including norovirus, dengue fever, Ebola, SARS, and MERS.
For most of the diseases on the list, however, we do have one or more effective tools. 
Vaccines exist for hepatitis A and B, rotavirus, seasonal flu, whooping cough, typhoid, cholera, meningitis, measles, rabies, yellow fever, and chicken pox, Nichols said.
Effective treatments are available for tuberculosis and HIV/AIDS, and malaria has an effective prophylaxis.
But for COVID-19, not having an effective vaccine or treatment means that the only tool is to limit personal contact and maintain good hygiene. Doing this makes economic shutdowns a much more urgent tool for the coronavirus than for any of the other diseases on the list.
Many of the other diseases are not spread as easily through the air
While tuberculosis, measles, pneumonia, the seasonal flu, whooping cough, SARS, and MERS are spread by respiratory pathways, most of the others do not. 
They may spread through contaminated food or water, such as cholera; or bodily fluids, like HIV/AIDS; or animal vectors, such as malaria or rabies.
Since respiratory diseases are particularly hard to control, they are more likely to require significant disruptions, such as economic shutdowns. You wouldn’t need a broad-scale economic shutdown to prevent HIV/AIDS, because it doesn’t spread through casual contact. For most of the other diseases on the list, you would mainly need a robust public health system.
Coronavirus is now endemic almost everywhere
Some of the other diseases on this list aren’t apples to apples because they’re regional. 
Malaria and dengue are carried by certain types of mosquito, so if you don’t live near the mosquitoes, you won’t get the disease. The parasite that causes leishmaniasis tends to be found only in certain areas. For other diseases, many wealthier countries have been able to vaccinate to a level of herd immunity, reducing the risk of catching the illness in those places even if you’re unvaccinated.
By contrast, the coronavirus spread within months to nearly everywhere in the world.
Our ruling
The post said that only 56 coronavirus deaths a day was enough to collapse the world economy, even though thousands of people die daily from tuberculosis, hepatitis B, and other diseases.
For starters, the post chose March 9 as its date for coronavirus deaths, which was right before deaths soared. Subsequent daily totals show that coronavirus deaths have become larger than any other disease on the list.
In addition, coronavirus poses special risks that may need to be ameliorated by economic closures. It spreads through the air, there is no vaccine or treatment, and by now it’s established itself in most countries, so in many cases, limiting casual contact between people may be the only effective way of stopping the virus’ spread.
We rate the statement Pants on Fire.","post","https://archive.fo/ncerT","null","","null",""
"1625069346-530","https://www.politifact.com/factchecks/list/?page=3&category=coronavirus&ruling=pants-fire","Says Alexandria Ocasio-Cortez tweeted, “It’s vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.”","stated on June 23, 2020 in a Facebook post:","Viral image","Says Alexandria Ocasio-Cortez tweeted, “It’s vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.”","https://www.politifact.com/factchecks/2020/jun/23/viral-image/no-aoc-didnt-tweet-about-closing-businesses-until-/","Facebook Fact-checks




Coronavirus







Viral image","","post","https://www.facebook.com/photo.php?fbid=10156967367381396&set=a.10151139125251396&type=3&theater","Deleted tweets from Alexandria Ocasio-Cortez","https://projects.propublica.org/politwoops/user/AOC?page=1","account","https://twitter.com/RepAOC"
"1625069265-508","https://www.politifact.com/factchecks/list/?page=3&category=coronavirus&ruling=pants-fire","“People defying stay-at-home order fill Arizona beaches.”","stated on April 22, 2020 in a post on Facebook:","Bloggers","“People defying stay-at-home order fill Arizona beaches.”","https://www.politifact.com/factchecks/2020/apr/27/blog-posting/crowded-beaches-arizona-coronavirus-spoof-fools-un/","Facebook Fact-checks




Coronavirus







Bloggers","","Facebook post","https://www.facebook.com/CaptainWhiiiiite/posts/10221825957735814","Executive order: Stay home, stay healthy, stay connected","https://azgovernor.gov/sites/default/files/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0.pdf","Arizona governor not ready to end virus stay-at-home order","https://www.fox10phoenix.com/news/arizona-governor-not-ready-to-end-virus-stay-at-home-order"
"1625069158-475","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","The coronavirus ""snuck up on us,” adding that it is “a very unforeseen thing.”","stated on March 18, 2020 in comments made during a White House media briefing:","Donald Trump","The coronavirus ""snuck up on us,” adding that it is “a very unforeseen thing.”","https://www.politifact.com/factchecks/2020/mar/19/donald-trump/was-novel-coronavirus-really-sneaky-its-spread-us-/","National




Public Health




Health Check




Coronavirus







Donald Trump","","Director of National Intelligence,","https://www.dni.gov/files/ODNI/documents/2019-ATA-SFR---SSCI.pdf","null","","null",""
"1625069452-559","https://www.politifact.com/factchecks/list/?page=2&category=coronavirus&ruling=pants-fire","CNN reported, “Due to COVID-19, President Donald Trump passes away at 74.”","stated on October 12, 2020 in a Facebook post:","Viral image","CNN reported, “Due to COVID-19, President Donald Trump passes away at 74.”","https://www.politifact.com/factchecks/2020/oct/16/viral-image/no-donald-trump-didnt-die-covid-19/","Facebook Fact-checks




Coronavirus







Viral image","No, Donald Trump didn’t die from COVID-19




If Your Time is short




Donald Trump is alive.

 



See the sources for this fact-check




An Instagram post spreading on social media claims that President Donald Trump is dead, but that’s wrong. 
""Due to COVID-19, President Donald Trump passes away at 74,"" reads what looks like a screenshot of a CNN tweet. It was posted on Instagram on Oct. 12. 
Since then, of course, Trump has tweeted and appeared in public. On Oct. 15, he participated in a televised town hall. 
This post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) 

Featured Fact-check
















Instagram posts


stated on June 2, 2021 in an Instagram post








An email from Dr. Anthony Fauci shows ""everyone was lied to"" about wearing masks to prevent the spread of COVID-19.












By Tom Kertscher • June 2, 2021







While Donald Trump sought treatment for his COVID-19 diagnosis at Walter Reed National Military Medical Center, he left the hospital on Oct. 5 and has been campaigning since. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases, told the health news website STAT that the president ""did not suffer any significant consequences"" from COVID-19, according to an Oct. 13 story.
We didn’t find any evidence that CNN ever tweeted that Trump died. 
Searching for the tweet on Twitter, we found an identical Oct. 9 tweet that similarly uses the Fox News logo, but the account is not actually Fox News; it’s @foxnewes.
We rate this post Pants on Fire!","post","https://archive.is/sqfqB","Tweet","https://twitter.com/foxnewes/status/1314691795452796928","he participated in a televised town hall","https://www.nytimes.com/live/2020/10/15/us/trump-biden-town-halls"
